tradingsymbol,datetime,open,high,low,close,volume
NIFTY 50,2024-08-02 09:15:00,24789.0,24851.9,24751.1,24761.5,0
NIFTY 50,2024-08-02 09:45:00,24758.9,24778.9,24723.7,24778.9,0
NIFTY 50,2024-08-02 10:15:00,24779.45,24809.6,24746.0,24793.9,0
NIFTY 50,2024-08-02 10:45:00,24794.05,24823.75,24778.75,24805.05,0
NIFTY 50,2024-08-02 11:15:00,24803.6,24830.75,24795.45,24822.55,0
NIFTY 50,2024-08-02 11:45:00,24821.6,24835.1,24779.9,24788.7,0
NIFTY 50,2024-08-02 12:15:00,24788.4,24794.9,24757.5,24761.8,0
NIFTY 50,2024-08-02 12:45:00,24762.1,24784.2,24754.7,24770.5,0
NIFTY 50,2024-08-02 13:15:00,24769.25,24808.3,24755.4,24793.5,0
NIFTY 50,2024-08-02 13:45:00,24793.25,24808.9,24763.95,24770.55,0
NIFTY 50,2024-08-02 14:15:00,24771.2,24792.55,24730.7,24735.0,0
NIFTY 50,2024-08-02 14:45:00,24734.7,24744.65,24686.85,24727.9,0
NIFTY 50,2024-08-02 15:15:00,24728.85,24736.7,24696.1,24699.45,0
NIFTY 50,2024-08-05 09:15:00,24302.85,24350.05,24192.5,24271.4,0
NIFTY 50,2024-08-05 09:45:00,24272.9,24346.2,24248.6,24292.15,0
NIFTY 50,2024-08-05 10:15:00,24290.8,24295.9,24185.9,24205.55,0
NIFTY 50,2024-08-05 10:45:00,24206.2,24206.8,24011.45,24020.75,0
NIFTY 50,2024-08-05 11:15:00,24020.45,24032.5,23893.7,23999.35,0
NIFTY 50,2024-08-05 11:45:00,23999.9,24049.25,23982.4,24038.45,0
NIFTY 50,2024-08-05 12:15:00,24039.35,24056.8,23932.5,23946.4,0
NIFTY 50,2024-08-05 12:45:00,23947.7,24023.2,23916.7,24021.6,0
NIFTY 50,2024-08-05 13:15:00,24021.2,24103.6,23996.1,24074.15,0
NIFTY 50,2024-08-05 13:45:00,24073.4,24127.35,24064.9,24085.65,0
NIFTY 50,2024-08-05 14:15:00,24085.9,24111.45,24014.6,24078.8,0
NIFTY 50,2024-08-05 14:45:00,24078.15,24115.0,24031.4,24048.85,0
NIFTY 50,2024-08-05 15:15:00,24049.65,24066.7,24039.55,24051.8,0
NIFTY 50,2024-08-06 09:15:00,24189.85,24382.6,24189.5,24264.2,0
NIFTY 50,2024-08-06 09:45:00,24267.8,24347.8,24266.5,24282.85,0
NIFTY 50,2024-08-06 10:15:00,24284.45,24309.9,24131.0,24155.9,0
NIFTY 50,2024-08-06 10:45:00,24155.2,24265.85,24153.2,24225.8,0
NIFTY 50,2024-08-06 11:15:00,24226.6,24260.35,24212.6,24238.25,0
NIFTY 50,2024-08-06 11:45:00,24238.85,24248.95,24207.7,24235.55,0
NIFTY 50,2024-08-06 12:15:00,24235.5,24237.9,24166.1,24177.05,0
NIFTY 50,2024-08-06 12:45:00,24176.8,24208.55,24158.3,24163.4,0
NIFTY 50,2024-08-06 13:15:00,24163.25,24178.25,24066.25,24079.45,0
NIFTY 50,2024-08-06 13:45:00,24079.45,24102.8,24011.8,24022.9,0
NIFTY 50,2024-08-06 14:15:00,24023.15,24077.9,23978.55,23979.3,0
NIFTY 50,2024-08-06 14:45:00,23979.05,24049.35,23960.4,23973.55,0
NIFTY 50,2024-08-06 15:15:00,23974.75,24039.45,23966.05,24033.05,0
NIFTY 50,2024-08-07 09:15:00,24289.4,24306.45,24231.9,24236.7,0
NIFTY 50,2024-08-07 09:45:00,24239.2,24256.05,24184.9,24207.55,0
NIFTY 50,2024-08-07 10:15:00,24207.05,24337.7,24193.4,24303.0,0
NIFTY 50,2024-08-07 10:45:00,24304.05,24313.1,24225.75,24248.6,0
NIFTY 50,2024-08-07 11:15:00,24247.35,24251.9,24209.7,24244.8,0
NIFTY 50,2024-08-07 11:45:00,24246.0,24253.95,24218.5,24224.05,0
NIFTY 50,2024-08-07 12:15:00,24225.95,24276.8,24223.1,24231.85,0
NIFTY 50,2024-08-07 12:45:00,24233.85,24245.7,24208.3,24232.15,0
NIFTY 50,2024-08-07 13:15:00,24232.9,24233.8,24188.95,24221.2,0
NIFTY 50,2024-08-07 13:45:00,24222.6,24246.6,24209.05,24246.0,0
NIFTY 50,2024-08-07 14:15:00,24246.45,24293.55,24244.8,24268.5,0
NIFTY 50,2024-08-07 14:45:00,24270.05,24312.25,24244.45,24309.4,0
NIFTY 50,2024-08-07 15:15:00,24309.25,24316.9,24295.85,24315.25,0
NIFTY 50,2024-08-08 09:15:00,24248.55,24263.5,24192.85,24230.55,0
NIFTY 50,2024-08-08 09:45:00,24231.25,24261.95,24119.3,24161.15,0
NIFTY 50,2024-08-08 10:15:00,24161.65,24259.6,24142.75,24196.7,0
NIFTY 50,2024-08-08 10:45:00,24197.05,24218.1,24134.4,24186.35,0
NIFTY 50,2024-08-08 11:15:00,24186.05,24252.95,24167.8,24191.9,0
NIFTY 50,2024-08-08 11:45:00,24192.3,24307.1,24187.35,24307.1,0
NIFTY 50,2024-08-08 12:15:00,24307.25,24340.5,24284.75,24305.1,0
NIFTY 50,2024-08-08 12:45:00,24304.4,24310.55,24129.05,24160.35,0
NIFTY 50,2024-08-08 13:15:00,24159.4,24179.55,24092.15,24168.55,0
NIFTY 50,2024-08-08 13:45:00,24168.95,24179.35,24125.85,24154.6,0
NIFTY 50,2024-08-08 14:15:00,24154.75,24195.8,24134.05,24169.9,0
NIFTY 50,2024-08-08 14:45:00,24169.2,24187.7,24113.35,24115.2,0
NIFTY 50,2024-08-08 15:15:00,24115.55,24117.9,24079.7,24098.7,0
NIFTY 50,2024-08-09 09:15:00,24386.85,24409.65,24315.9,24404.2,0
NIFTY 50,2024-08-09 09:45:00,24403.0,24419.75,24347.6,24356.45,0
NIFTY 50,2024-08-09 10:15:00,24356.4,24372.35,24311.2,24329.2,0
